room_reservation_id,reservation_ref_no,room_no,reserved_date,booking_status,room_type,negotiated_price,no_of_occupant,no_of_adults,no_of_children,no_of_children_above_six,no_of_extra_beds,negotiated_extra_bed_rate,ep,ep_count,ep_rate,cp,cp_count,cp_rate,map_lunch,map_lunch_count,map_lunch_rate,ap,ap_count,ap_rate,total_room_amount,room_rate,total_without_tax,breakfast_count,lunch_count,dinner_count,breakfast_price,lunch_price,dinner_price,other_meal,other_meal_count,other_meal_rate,bst,service_charge,reservation_status,entered_by,map_dinner,map_dinner_count,map_dinner_rate,schedule_type,cnb_count_six_to_ten,cnb_count_below_six,foc
11427,RES_02062026_01833,202,2026-06-02,close,Standard Double,1870.13,2,2,0,0,0,900.00,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,2160.00,1662.34,1870.13,0,0,0,0.00,0.00,0.00,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
11018,RES_15052026_01704,702,2026-06-04,open,Executive Apartment,1662.34,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3450.01,1662.34,2987.02,2,0,2,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,t,2,1324.68,single,0,0,f
11019,RES_15052026_01704,7032,2026-06-04,open,Family Apartment(Twin),1662.34,1,1,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,2685.01,1662.34,2324.68,1,0,1,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,t,1,662.34,single,0,0,f
11020,RES_15052026_01704,701,2026-06-04,open,Deluxe Studio Apartment,1662.34,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3450.01,1662.34,2987.02,2,0,2,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,t,2,1324.68,single,0,0,f
11021,RES_15052026_01704,7031,2026-06-04,open,Family Apartment(King),1662.34,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3450.01,1662.34,2987.02,2,0,2,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,t,2,1324.68,single,0,0,f
11024,RES_15052026_01705,206,2026-06-04,open,Deluxe Double,1789.87,1,1,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,2460.00,1766.23,2129.87,0,0,0,121.21,294.37,294.37,f,0,0.00,1.00,1.00,reserved,,t,1,340.00,multiple,0,0,f
11425,RES_01062026_01832,201,2026-06-01,open,Suite,4675.32,2,2,0,0,0,900.00,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5399.99,4500.00,4675.32,0,0,0,0.00,0.00,0.00,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
11022,RES_15052026_01705,202,2026-06-04,open,Standard Double,2257.40,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3000.00,1766.23,2597.40,0,0,0,121.21,294.37,294.37,f,0,0.00,1.00,1.00,reserved,,t,2,340.00,multiple,0,0,f
11023,RES_15052026_01705,203,2026-06-04,open,Standard Double,2257.40,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3000.00,1766.23,2597.40,0,0,0,121.21,294.37,294.37,f,0,0.00,1.00,1.00,reserved,,t,2,340.00,multiple,0,0,f
11429,RES_02062026_01835,503,2026-06-02,close,Premium Suite,2251.08,1,1,0,0,0,900.00,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,2600.00,5500.00,2251.08,0,0,0,0.00,0.00,0.00,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
